Theme,Level,Random
スターバックスといえば,,0.778554645
マクドナルドといえば,,0.055348263
ファミレスといえば,,0.411113827
デパートといえば,,0.890416168
ユナイテッドシネマ豊洲以外の映画館といえば,,0.225513514
駅名に色がついている駅といえば,,0.044707192
ユニクロといえば,,0.041838177
スターバックスを除くコーヒーショップといえば,,0.763732093
100円ショップといえば,,0.212027128
帝国ホテル以外のホテルといえば,,0.205405506
景色がいいところといえば,,0.112798584
教科書に載っているところといえば,,0.124676753
初デートで行きたい場所といえば,,0.984757535
外国人にお勧めしたい場所といえば,,0.216125953
郵便局といえば,,0.976619196
警察署といえば,,0.733497584
遠藤伸明教授と二人で出かけるならどこ,,0.500020133
お土産を買うならどこ,,0.125915208
おしゃれな人が買い物していそうな場所といえば,,0.026699864
名前がものすごく長い場所といえば,,0.229990265
最近できた場所といえば,,0.165280857
歴史のある場所といえば,,0.103241141
池といえば,,0.425590848
疲れが癒せる場所といえば,,0.848347719
夜景がきれいなところといえば,,0.622644458
クリスマスといえば,,0.674678377
タピオカ屋さんといえば,,0.658184348
商店街といえば,,0.200692411
ライブ会場、コンサート会場といえば,,0.715068012
無印良品といえば,,0.534072467
牛丼チェーン店といえば,,0.467936334
写真を撮りたくなる場所といえば,,0.411796332
歩道橋といえば,,0.517358947
エスカレーターといえば,,0.583823604
イルミネーションといえば,,0.378642733
自然豊かな場所といえば,,0.151953585
庭といえば,,0.097327132
国際的な施設といえば,,0.038788691
テレビ局といえば,,0.789176405
劇場といえば,,0.131464158
人がいっぱいいる所といえば,,0.047463482
カレー屋さんといえば,,0.901275021
心霊スポットといえば,,0.72761387
バスターミナルといえば,,0.277528392
銅像といえば,,0.962369781
お寺or神社といえば,,0.01120719
東京で一番有名な場所といえば,,0.711607619
地価が高い店といえば,,0.0608524
階段といえば,,0.400424377
名前に東京がつく場所といえば,,0.652246854
